customer_id,customer_name,first_purchase_date,last_purchase_date,active_days
C0444,Rohan Patil,2025-07-23,2026-04-04,255
C0500,Arjun Deshmukh,2025-06-26,2026-03-05,252
C0459,Priya Mehta,2025-08-09,2026-04-17,251
C0117,Aditya Verma,2025-05-22,2026-01-26,249
C0364,Rohan Shah,2025-05-26,2026-01-30,249
C0335,Aditi Kulkarni,2025-07-18,2026-03-22,247
C0272,Pooja Verma,2025-07-13,2026-03-15,245
C0486,Arjun Gupta,2025-09-13,2026-05-14,243
C0002,Rahul Shah,2025-11-15,2026-07-12,239
C0135,Aditi Patil,2025-09-09,2026-05-06,239
C0224,Kavya Shah,2025-10-04,2026-05-31,239
C0433,Kavya Kulkarni,2025-05-29,2026-01-20,236
C0053,Priya Gupta,2025-07-08,2026-02-21,228
C0210,Rohan Patil,2025-06-30,2026-02-13,228
C0436,Vivaan Joshi,2025-09-10,2026-04-26,228
C0184,Isha Singh,2025-05-29,2026-01-09,225
C0273,Ananya Gupta,2025-06-21,2026-02-01,225
C0085,Isha Gupta,2025-10-15,2026-05-24,221
C0462,Pooja Gupta,2025-08-08,2026-03-16,220
C0334,Priya Patil,2025-11-09,2026-06-16,219
C0093,Kavya Patil,2025-12-28,2026-08-03,218
C0163,Sneha Mehta,2025-12-11,2026-07-17,218
C0283,Aditya Deshmukh,2025-12-13,2026-07-19,218
C0491,Arjun Joshi,2025-05-15,2025-12-19,218
C0076,Kavya Shah,2025-06-23,2026-01-25,216
C0038,Kavya Kulkarni,2025-05-30,2025-12-31,215
C0165,Sneha Mehta,2025-11-27,2026-06-29,214
C0017,Rahul Verma,2025-07-14,2026-02-09,210
C0355,Aditya Mehta,2025-06-02,2025-12-24,205
C0042,Kavya Verma,2025-10-15,2026-05-07,204
C0476,Sneha Verma,2025-07-13,2026-01-30,201
C0292,Karan Sharma,2025-10-10,2026-04-27,199
C0406,Priya Verma,2025-12-30,2026-07-17,199
C0338,Ananya Sharma,2025-07-25,2026-02-06,196
C0142,Rohan Mehta,2025-07-18,2026-01-28,194
C0299,Aditya Gupta,2025-06-22,2026-01-02,194
C0004,Rohan Sharma,2025-05-30,2025-12-09,193
C0219,Ananya Gupta,2025-06-25,2026-01-01,190
C0179,Priya Joshi,2025-07-05,2026-01-08,187
C0128,Neha Shah,2025-10-12,2026-04-16,186
C0481,Isha Kulkarni,2025-09-04,2026-03-09,186
C0213,Priya Shah,2025-05-29,2025-11-30,185
C0166,Priya Verma,2025-10-18,2026-04-20,184
C0115,Neha Sharma,2025-05-22,2025-11-21,183
C0200,Ananya Verma,2025-12-09,2026-06-10,183
C0470,Rohan Sharma,2025-07-10,2026-01-07,181
C0109,Sneha Joshi,2025-07-05,2026-01-01,180
C0453,Aditya Singh,2025-07-28,2026-01-24,180
C0455,Aditya Deshmukh,2025-12-11,2026-06-08,179
C0134,Rohan Mehta,2025-05-30,2025-11-23,177
C0098,Isha Shah,2025-08-03,2026-01-26,176
C0226,Aditi Singh,2025-08-01,2026-01-23,175
C0389,Sneha Mehta,2025-08-15,2026-02-06,175
C0348,Sneha Shah,2025-11-16,2026-05-08,173
C0284,Pooja Shah,2025-08-06,2026-01-25,172
C0341,Sneha Singh,2025-09-10,2026-03-01,172
C0178,Arjun Sharma,2025-09-17,2026-03-05,169
C0263,Rahul Deshmukh,2025-11-02,2026-04-20,169
C0442,Sneha Kulkarni,2025-09-30,2026-03-15,166
C0258,Priya Verma,2025-12-23,2026-06-06,165
C0006,Neha Verma,2025-05-26,2025-11-06,164
C0086,Arjun Kulkarni,2025-10-09,2026-03-22,164
C0202,Karan Sharma,2025-11-13,2026-04-26,164
C0421,Sneha Singh,2026-02-22,2026-08-05,164
C0007,Rahul Deshmukh,2025-08-27,2026-02-04,161
C0394,Aditya Singh,2025-09-15,2026-02-21,159
C0358,Aarav Sharma,2026-03-03,2026-08-08,158
C0411,Priya Singh,2026-01-23,2026-06-27,155
C0469,Rahul Gupta,2026-01-07,2026-06-10,154
C0268,Arjun Deshmukh,2025-12-22,2026-05-22,151
C0318,Neha Singh,2025-07-20,2025-12-16,149
C0367,Aarav Joshi,2025-11-01,2026-03-28,147
C0173,Karan Kulkarni,2025-05-21,2025-10-13,145
C0046,Aarav Patil,2026-02-16,2026-07-09,143
C0051,Priya Shah,2025-12-03,2026-04-23,141
C0456,Vivaan Gupta,2025-10-06,2026-02-24,141
C0242,Rohan Mehta,2026-02-27,2026-07-15,138
C0387,Aditya Joshi,2025-07-31,2025-12-16,138
C0332,Neha Shah,2025-05-28,2025-10-12,137
C0022,Isha Deshmukh,2025-11-24,2026-04-09,136
C0306,Isha Mehta,2025-09-29,2026-02-10,134
C0336,Aditi Gupta,2026-03-09,2026-07-17,130
C0276,Aditi Singh,2026-01-26,2026-06-04,129
C0066,Pooja Verma,2025-09-13,2026-01-19,128
C0382,Pooja Verma,2025-12-13,2026-04-20,128
C0352,Sneha Patil,2026-04-03,2026-08-07,126
C0182,Isha Shah,2025-11-25,2026-03-28,123
C0298,Rohan Mehta,2025-05-15,2025-09-12,120
C0204,Aditi Kulkarni,2025-10-30,2026-02-26,119
C0295,Kavya Verma,2025-11-06,2026-03-05,119
C0151,Pooja Gupta,2026-03-11,2026-07-07,118
C0290,Neha Patil,2025-09-18,2026-01-14,118
C0484,Rohan Verma,2026-02-05,2026-05-31,115
C0033,Isha Joshi,2026-02-17,2026-06-11,114
C0073,Aditi Deshmukh,2026-04-04,2026-07-27,114
C0067,Aditi Mehta,2025-07-06,2025-10-27,113
C0349,Kavya Sharma,2026-03-09,2026-06-30,113
C0403,Vivaan Joshi,2025-12-02,2026-03-24,112
C0278,Isha Singh,2026-01-24,2026-05-14,110
C0307,Neha Kulkarni,2025-07-05,2025-10-22,109
C0443,Sneha Joshi,2025-07-04,2025-10-21,109
C0061,Aarav Patil,2025-10-16,2026-02-01,108
C0059,Rohan Sharma,2025-07-16,2025-10-30,106
C0399,Priya Verma,2025-12-08,2026-03-20,102
C0246,Karan Deshmukh,2026-04-08,2026-07-18,101
C0018,Vivaan Gupta,2026-03-17,2026-06-25,100
C0262,Sneha Sharma,2025-11-08,2026-02-09,93
C0009,Arjun Joshi,2025-07-10,2025-10-07,89
C0063,Aditi Patil,2025-12-02,2026-02-28,88
C0101,Vivaan Deshmukh,2025-11-21,2026-02-12,83
C0353,Kavya Joshi,2025-05-21,2025-08-12,83
C0402,Sneha Singh,2025-06-10,2025-09-01,83
C0114,Ananya Shah,2025-12-01,2026-02-20,81
C0437,Vivaan Mehta,2025-11-18,2026-02-06,80
C0230,Isha Joshi,2026-03-03,2026-05-21,79
C0025,Isha Shah,2025-08-16,2025-11-02,78
C0461,Rahul Kulkarni,2025-06-11,2025-08-25,75
C0156,Vivaan Deshmukh,2025-12-07,2026-02-18,73
C0254,Rahul Sharma,2025-11-01,2026-01-12,72
C0228,Aarav Kulkarni,2025-08-20,2025-10-30,71
C0323,Arjun Kulkarni,2026-04-12,2026-06-22,71
C0259,Rohan Patil,2025-07-23,2025-09-30,69
C0426,Sneha Shah,2025-12-04,2026-02-11,69
C0037,Neha Verma,2025-09-13,2025-11-19,67
C0084,Aditi Verma,2026-03-04,2026-05-05,62
C0325,Rohan Patil,2025-11-11,2026-01-11,61
C0218,Kavya Gupta,2025-08-04,2025-10-03,60
C0457,Isha Verma,2025-05-27,2025-07-26,60
C0304,Arjun Joshi,2025-06-19,2025-08-17,59
C0409,Rahul Patil,2026-06-05,2026-08-02,58
C0449,Arjun Mehta,2026-01-15,2026-03-12,56
C0415,Aarav Singh,2025-12-11,2026-02-03,54
C0231,Neha Kulkarni,2026-03-06,2026-04-24,49
C0412,Isha Verma,2025-09-08,2025-10-27,49
C0247,Aditya Sharma,2026-02-17,2026-04-06,48
C0451,Kavya Kulkarni,2026-05-18,2026-07-04,47
C0418,Rahul Deshmukh,2025-08-10,2025-09-25,46
C0190,Karan Deshmukh,2026-02-07,2026-03-23,44
C0291,Ananya Patil,2026-06-18,2026-07-31,43
C0463,Aarav Mehta,2025-05-31,2025-07-13,43
C0270,Neha Verma,2025-08-31,2025-10-08,38
C0339,Sneha Deshmukh,2026-05-24,2026-07-01,38
C0010,Karan Deshmukh,2025-10-25,2025-11-28,34
C0035,Aarav Mehta,2025-07-14,2025-08-16,33
C0060,Arjun Singh,2025-05-16,2025-06-18,33
C0229,Aarav Patil,2025-12-20,2026-01-19,30
C0314,Aarav Verma,2025-05-22,2025-06-19,28
C0499,Aarav Singh,2025-07-29,2025-08-22,24
C0393,Neha Singh,2025-10-01,2025-10-22,21
C0232,Pooja Shah,2025-10-29,2025-11-18,20
C0497,Rohan Gupta,2026-02-22,2026-03-14,20
C0495,Rohan Mehta,2025-09-18,2025-10-02,14
C0359,Sneha Deshmukh,2026-06-14,2026-06-27,13
C0479,Rahul Patil,2026-07-14,2026-07-25,11
C0107,Rohan Deshmukh,2025-07-10,2025-07-20,10
C0069,Rohan Kulkarni,2025-12-22,2025-12-31,9
C0468,Isha Singh,2025-07-26,2025-08-03,8
C0316,Rohan Sharma,2025-09-17,2025-09-23,6
C0015,Sneha Joshi,2025-07-31,2025-08-05,5
C0225,Aarav Mehta,2025-08-03,2025-08-07,4
C0222,Ananya Joshi,2026-01-29,2026-02-01,3
C0056,Pooja Mehta,2026-01-18,2026-01-20,2
C0005,Priya Shah,2025-08-22,2025-08-22,0
C0008,Rahul Kulkarni,2026-03-21,2026-03-21,0
C0011,Aditi Patil,2026-01-02,2026-01-02,0
C0012,Isha Deshmukh,2025-11-12,2025-11-12,0
C0013,Aditi Sharma,2026-03-02,2026-03-02,0
C0020,Karan Verma,2025-11-07,2025-11-07,0
C0023,Rohan Gupta,2025-08-18,2025-08-18,0
C0028,Arjun Shah,2025-10-19,2025-10-19,0
C0029,Aditi Kulkarni,2025-08-24,2025-08-24,0
C0030,Vivaan Shah,2026-08-04,2026-08-04,0
C0034,Isha Patil,2025-11-07,2025-11-07,0
C0036,Vivaan Mehta,2026-05-10,2026-05-10,0
C0039,Priya Gupta,2025-05-21,2025-05-21,0
C0048,Aditya Singh,2025-09-12,2025-09-12,0
C0054,Vivaan Patil,2026-02-01,2026-02-01,0
C0055,Aditi Shah,2025-07-14,2025-07-14,0
C0064,Aarav Gupta,2025-12-25,2025-12-25,0
C0065,Arjun Gupta,2026-07-18,2026-07-18,0
C0070,Vivaan Deshmukh,2025-07-25,2025-07-25,0
C0072,Aditya Mehta,2026-04-13,2026-04-13,0
C0078,Pooja Joshi,2025-08-19,2025-08-19,0
C0081,Priya Gupta,2025-12-21,2025-12-21,0
C0082,Rahul Singh,2026-03-28,2026-03-28,0
C0083,Isha Deshmukh,2026-05-04,2026-05-04,0
C0087,Priya Singh,2026-06-05,2026-06-05,0
C0088,Aditi Kulkarni,2025-07-04,2025-07-04,0
C0089,Pooja Sharma,2026-06-04,2026-06-04,0
C0090,Vivaan Joshi,2026-03-15,2026-03-15,0
C0091,Rohan Shah,2025-07-29,2025-07-29,0
C0096,Ananya Deshmukh,2025-08-11,2025-08-11,0
C0099,Neha Deshmukh,2026-07-11,2026-07-11,0
C0106,Karan Joshi,2026-03-09,2026-03-09,0
C0116,Kavya Gupta,2025-05-28,2025-05-28,0
C0118,Aarav Deshmukh,2026-06-18,2026-06-18,0
C0119,Vivaan Shah,2026-06-06,2026-06-06,0
C0121,Aarav Sharma,2025-07-14,2025-07-14,0
C0123,Pooja Mehta,2026-01-12,2026-01-12,0
C0125,Neha Shah,2025-11-17,2025-11-17,0
C0126,Arjun Joshi,2026-07-07,2026-07-07,0
C0131,Karan Gupta,2025-05-23,2025-05-23,0
C0136,Aditya Mehta,2026-05-24,2026-05-24,0
C0138,Rahul Verma,2026-03-16,2026-03-16,0
C0139,Kavya Joshi,2026-07-31,2026-07-31,0
C0141,Rohan Gupta,2026-05-01,2026-05-01,0
C0144,Aditi Kulkarni,2025-10-27,2025-10-27,0
C0147,Isha Gupta,2025-07-14,2025-07-14,0
C0155,Sneha Patil,2025-07-22,2025-07-22,0
C0158,Sneha Joshi,2026-06-28,2026-06-28,0
C0164,Vivaan Shah,2025-06-10,2025-06-10,0
C0167,Rohan Kulkarni,2025-10-19,2025-10-19,0
C0169,Ananya Sharma,2025-06-26,2025-06-26,0
C0172,Arjun Verma,2025-08-14,2025-08-14,0
C0175,Rahul Singh,2025-09-04,2025-09-04,0
C0177,Aditya Kulkarni,2025-11-10,2025-11-10,0
C0180,Sneha Gupta,2026-07-02,2026-07-02,0
C0185,Ananya Joshi,2025-05-26,2025-05-26,0
C0186,Karan Gupta,2025-08-25,2025-08-25,0
C0188,Aditya Kulkarni,2026-06-05,2026-06-05,0
C0189,Kavya Gupta,2025-08-03,2025-08-03,0
C0191,Neha Patil,2025-11-23,2025-11-23,0
C0192,Isha Singh,2025-08-02,2025-08-02,0
C0195,Priya Joshi,2025-10-20,2025-10-20,0
C0199,Isha Patil,2026-03-20,2026-03-20,0
C0203,Neha Gupta,2026-03-15,2026-03-15,0
C0206,Pooja Gupta,2025-08-09,2025-08-09,0
C0207,Neha Shah,2026-05-06,2026-05-06,0
C0209,Priya Joshi,2025-08-15,2025-08-15,0
C0211,Kavya Patil,2026-07-29,2026-07-29,0
C0212,Neha Joshi,2026-05-31,2026-05-31,0
C0215,Ananya Mehta,2025-11-16,2025-11-16,0
C0234,Rohan Mehta,2025-10-03,2025-10-03,0
C0238,Vivaan Deshmukh,2026-02-08,2026-02-08,0
C0239,Arjun Patil,2026-03-24,2026-03-24,0
C0240,Neha Patil,2026-02-06,2026-02-06,0
C0241,Ananya Singh,2026-06-04,2026-06-04,0
C0243,Aditya Gupta,2026-02-21,2026-02-21,0
C0248,Ananya Singh,2025-10-04,2025-10-04,0
C0249,Rohan Kulkarni,2026-05-30,2026-05-30,0
C0250,Pooja Kulkarni,2025-08-27,2025-08-27,0
C0253,Aditya Kulkarni,2026-04-18,2026-04-18,0
C0255,Karan Patil,2026-05-07,2026-05-07,0
C0257,Aditi Sharma,2025-06-28,2025-06-28,0
C0264,Rohan Joshi,2025-11-09,2025-11-09,0
C0267,Rohan Deshmukh,2025-07-29,2025-07-29,0
C0269,Rohan Singh,2025-08-12,2025-08-12,0
C0277,Aarav Verma,2026-04-23,2026-04-23,0
C0279,Aarav Sharma,2026-01-22,2026-01-22,0
C0282,Rahul Singh,2025-09-07,2025-09-07,0
C0285,Kavya Patil,2025-06-09,2025-06-09,0
C0286,Aditi Joshi,2025-10-02,2025-10-02,0
C0287,Rohan Gupta,2026-07-09,2026-07-09,0
C0289,Aditya Singh,2025-07-19,2025-07-19,0
C0294,Pooja Sharma,2025-12-14,2025-12-14,0
C0297,Vivaan Verma,2025-07-12,2025-07-12,0
C0301,Kavya Patil,2025-12-21,2025-12-21,0
C0302,Ananya Verma,2025-06-10,2025-06-10,0
C0303,Aarav Verma,2025-11-15,2025-11-15,0
C0305,Rohan Mehta,2025-09-26,2025-09-26,0
C0309,Vivaan Verma,2026-07-14,2026-07-14,0
C0312,Ananya Verma,2025-06-10,2025-06-10,0
C0313,Aditi Shah,2025-09-13,2025-09-13,0
C0322,Pooja Verma,2026-02-08,2026-02-08,0
C0324,Karan Deshmukh,2026-04-16,2026-04-16,0
C0327,Pooja Shah,2025-10-01,2025-10-01,0
C0329,Ananya Mehta,2026-01-15,2026-01-15,0
C0330,Pooja Joshi,2025-10-06,2025-10-06,0
C0331,Vivaan Mehta,2025-08-19,2025-08-19,0
C0333,Sneha Verma,2025-05-27,2025-05-27,0
C0337,Arjun Patil,2025-07-23,2025-07-23,0
C0344,Neha Patil,2025-08-09,2025-08-09,0
C0345,Arjun Deshmukh,2025-05-16,2025-05-16,0
C0346,Karan Mehta,2026-02-08,2026-02-08,0
C0347,Kavya Patil,2026-07-20,2026-07-20,0
C0356,Karan Singh,2026-07-11,2026-07-11,0
C0357,Aditi Mehta,2025-06-23,2025-06-23,0
C0362,Arjun Joshi,2025-06-15,2025-06-15,0
C0365,Pooja Joshi,2026-04-23,2026-04-23,0
C0368,Priya Verma,2025-11-04,2025-11-04,0
C0369,Vivaan Deshmukh,2026-07-05,2026-07-05,0
C0370,Priya Shah,2025-07-30,2025-07-30,0
C0372,Aditi Shah,2025-12-26,2025-12-26,0
C0373,Aditya Singh,2026-07-25,2026-07-25,0
C0374,Priya Shah,2025-06-11,2025-06-11,0
C0375,Sneha Verma,2025-12-07,2025-12-07,0
C0376,Isha Kulkarni,2025-06-06,2025-06-06,0
C0377,Rahul Singh,2026-08-01,2026-08-01,0
C0379,Aditya Deshmukh,2025-09-05,2025-09-05,0
C0383,Aditya Deshmukh,2025-10-11,2025-10-11,0
C0385,Rahul Deshmukh,2026-07-22,2026-07-22,0
C0396,Aarav Kulkarni,2026-06-24,2026-06-24,0
C0400,Kavya Singh,2025-10-27,2025-10-27,0
C0404,Rohan Mehta,2025-07-31,2025-07-31,0
C0407,Priya Sharma,2025-12-11,2025-12-11,0
C0408,Sneha Singh,2026-02-03,2026-02-03,0
C0413,Karan Sharma,2025-08-14,2025-08-14,0
C0417,Aditya Verma,2025-09-28,2025-09-28,0
C0419,Isha Singh,2025-10-08,2025-10-08,0
C0420,Kavya Joshi,2025-08-12,2025-08-12,0
C0423,Sneha Shah,2025-10-24,2025-10-24,0
C0430,Arjun Sharma,2026-05-25,2026-05-25,0
C0432,Aarav Verma,2026-08-04,2026-08-04,0
C0434,Sneha Shah,2025-10-23,2025-10-23,0
C0446,Neha Patil,2026-04-27,2026-04-27,0
C0450,Arjun Shah,2026-02-17,2026-02-17,0
C0452,Kavya Sharma,2025-07-28,2025-07-28,0
C0458,Isha Sharma,2026-06-30,2026-06-30,0
C0471,Sneha Gupta,2026-07-27,2026-07-27,0
C0473,Vivaan Deshmukh,2025-09-25,2025-09-25,0
C0474,Priya Shah,2026-02-22,2026-02-22,0
C0480,Rohan Singh,2025-11-02,2025-11-02,0
C0483,Rahul Deshmukh,2025-08-09,2025-08-09,0
C0487,Priya Sharma,2025-06-21,2025-06-21,0
C0489,Rohan Kulkarni,2026-06-29,2026-06-29,0
C0490,Rohan Patil,2026-02-21,2026-02-21,0
C0496,Aditya Kulkarni,2025-12-31,2025-12-31,0
C0498,Karan Gupta,2025-07-12,2025-07-12,0
