customer_id,customer_name,total_revenue,customer_segment
C0447,Pooja Mehta,40946.17,2
C0136,Aditya Mehta,40719.49,2
C0157,Isha Verma,39908.08,2
C0443,Sneha Joshi,39868.2,2
C0349,Kavya Sharma,39705.53,2
C0346,Karan Mehta,39663.41,2
C0290,Neha Patil,39533.75,2
C0418,Rahul Deshmukh,39526.09,2
C0116,Kavya Gupta,38742.89,2
C0249,Rohan Kulkarni,38607.43,2
C0118,Aarav Deshmukh,38446.8,2
C0430,Arjun Sharma,38390.15,2
C0437,Vivaan Mehta,37057.02,2
C0056,Pooja Mehta,36713.24,2
C0304,Arjun Joshi,36485.51,2
C0455,Aditya Deshmukh,36250.15,2
C0093,Kavya Patil,36204.58,2
C0340,Arjun Joshi,36073.56,2
C0109,Sneha Joshi,35977.7,2
C0494,Kavya Singh,35920.38,2
C0336,Aditi Gupta,35578.99,2
C0385,Rahul Deshmukh,35488.06,2
C0400,Kavya Singh,35402.2,2
C0222,Ananya Joshi,35390.51,2
C0406,Priya Verma,35187.4,2
C0388,Pooja Singh,34928.78,2
C0117,Aditya Verma,34880.25,2
C0137,Aditi Kulkarni,34714.79,2
C0025,Isha Shah,34626.81,2
C0306,Isha Mehta,34600.38,2
C0426,Sneha Shah,34497.04,2
C0231,Neha Kulkarni,34282.13,2
C0490,Rohan Patil,33305.61,2
C0397,Rohan Joshi,33242.4,2
C0438,Ananya Deshmukh,32988.11,2
C0280,Ananya Sharma,32766.19,2
C0160,Aditya Deshmukh,32424.43,2
C0066,Pooja Verma,31985.18,2
C0052,Vivaan Deshmukh,31746.96,2
C0224,Kavya Shah,31691.79,2
C0448,Pooja Verma,31646.35,2
C0474,Priya Shah,31640.67,2
C0259,Rohan Patil,31506.74,2
C0153,Neha Patil,31402.09,2
C0128,Neha Shah,31317.29,2
C0379,Aditya Deshmukh,31303.04,2
C0413,Karan Sharma,31244.03,2
C0100,Rohan Sharma,31071.81,2
C0365,Pooja Joshi,30799.13,2
C0300,Ananya Kulkarni,30600.64,2
C0073,Aditi Deshmukh,30078.91,2
C0463,Aarav Mehta,29970.58,2
C0450,Arjun Shah,29764.11,2
C0419,Isha Singh,29299.9,2
C0356,Karan Singh,29232.59,2
C0472,Karan Gupta,28909.19,2
C0248,Ananya Singh,28683.2,2
C0335,Aditi Kulkarni,28676.39,2
C0063,Aditi Patil,28351.27,2
C0318,Neha Singh,28266.2,2
C0010,Karan Deshmukh,28256.51,2
C0403,Vivaan Joshi,28247.75,2
C0377,Rahul Singh,28158.25,2
C0162,Rohan Kulkarni,28061.23,2
C0327,Pooja Shah,27857.3,2
C0497,Rohan Gupta,27730.82,2
C0006,Neha Verma,27678.47,2
C0230,Isha Joshi,27405.61,2
C0468,Isha Singh,27345.01,2
C0441,Aditya Gupta,27267.18,2
C0288,Isha Verma,27121.63,2
C0188,Aditya Kulkarni,26941.31,2
C0114,Ananya Shah,26512.82,2
C0344,Neha Patil,26446.35,2
C0404,Rohan Mehta,26428.11,2
C0034,Isha Patil,26228.06,2
C0264,Rohan Joshi,26152.18,2
C0045,Isha Shah,25933.75,2
C0483,Rahul Deshmukh,25839.81,3
C0085,Isha Gupta,25693.71,3
C0369,Vivaan Deshmukh,25631.32,3
C0303,Aarav Verma,25623.81,3
C0012,Isha Deshmukh,25341.45,3
C0298,Rohan Mehta,25208.07,3
C0361,Rohan Gupta,25193.52,3
C0013,Aditi Sharma,25140.05,3
C0014,Arjun Mehta,25063.66,3
C0459,Priya Mehta,24950.78,3
C0412,Isha Verma,24581.05,3
C0232,Pooja Shah,24440.09,3
C0378,Isha Sharma,24401.71,3
C0386,Ananya Deshmukh,23827.84,3
C0371,Aarav Verma,23744.0,3
C0203,Neha Gupta,23715.63,3
C0498,Karan Gupta,23675.52,3
C0456,Vivaan Gupta,23620.19,3
C0105,Pooja Joshi,23496.0,3
C0067,Aditi Mehta,23292.97,3
C0311,Isha Singh,21748.47,3
C0293,Isha Joshi,21603.28,3
C0337,Arjun Patil,21593.42,3
C0037,Neha Verma,21580.85,3
C0168,Arjun Sharma,21242.44,3
C0091,Rohan Shah,21179.76,3
C0276,Aditi Singh,21164.7,3
C0373,Aditya Singh,21042.41,3
C0421,Sneha Singh,20767.08,3
C0027,Kavya Gupta,20702.38,3
C0204,Aditi Kulkarni,20580.07,3
C0399,Priya Verma,20407.92,3
C0339,Sneha Deshmukh,20391.53,3
C0246,Karan Deshmukh,20020.55,3
C0098,Isha Shah,19998.67,3
C0083,Isha Deshmukh,19950.52,3
C0191,Neha Patil,19900.65,3
C0352,Sneha Patil,19755.68,3
C0398,Arjun Kulkarni,19677.59,3
C0186,Karan Gupta,19545.64,3
C0440,Pooja Patil,19325.36,3
C0499,Aarav Singh,19290.76,3
C0125,Neha Shah,19261.18,3
C0035,Aarav Mehta,19155.86,3
C0237,Kavya Kulkarni,19016.16,3
C0392,Aarav Mehta,18853.8,3
C0277,Aarav Verma,18784.02,3
C0462,Pooja Gupta,18666.8,3
C0416,Priya Joshi,18416.32,3
C0163,Sneha Mehta,18204.49,3
C0089,Pooja Sharma,17814.63,3
C0409,Rahul Patil,17583.41,3
C0210,Rohan Patil,17359.85,3
C0254,Rahul Sharma,16740.82,3
C0278,Isha Singh,16572.86,3
C0002,Rahul Shah,16476.2,3
C0496,Aditya Kulkarni,16395.38,3
C0078,Pooja Joshi,16224.97,3
C0009,Arjun Joshi,16166.83,3
C0393,Neha Singh,16004.72,3
C0241,Ananya Singh,15616.12,3
C0087,Priya Singh,15521.84,3
C0488,Aditya Patil,15456.73,3
C0175,Rahul Singh,15012.52,3
C0302,Ananya Verma,14976.42,3
C0150,Arjun Joshi,14885.51,3
C0384,Rohan Joshi,14866.83,3
C0255,Karan Patil,14863.81,3
C0029,Aditi Kulkarni,14850.78,3
C0112,Ananya Singh,14449.5,3
C0194,Karan Singh,14442.03,3
C0060,Arjun Singh,14218.56,3
C0101,Vivaan Deshmukh,14117.75,3
C0003,Vivaan Kulkarni,14096.01,3
C0257,Aditi Sharma,14059.71,3
C0402,Sneha Singh,14013.92,3
C0389,Sneha Mehta,13961.72,3
C0042,Kavya Verma,13916.02,3
C0200,Ananya Verma,13712.7,3
C0141,Rohan Gupta,13497.66,3
C0360,Aditi Gupta,13448.02,3
C0123,Pooja Mehta,13374.04,3
C0190,Karan Deshmukh,13322.36,3
C0286,Aditi Joshi,13303.03,3
C0219,Ananya Gupta,13198.64,3
C0023,Rohan Gupta,13151.39,3
C0366,Ananya Shah,13127.81,3
C0345,Arjun Deshmukh,13053.83,3
C0126,Arjun Joshi,12996.82,3
C0341,Sneha Singh,12954.53,3
C0331,Vivaan Mehta,12658.37,3
C0064,Aarav Gupta,12380.86,3
C0452,Kavya Sharma,12379.0,3
C0465,Priya Gupta,12211.24,3
C0314,Aarav Verma,12195.89,3
C0495,Rohan Mehta,12112.99,3
C0500,Arjun Deshmukh,12054.07,3
C0121,Aarav Sharma,12003.99,3
C0250,Pooja Kulkarni,11879.41,3
C0325,Rohan Patil,11853.51,3
C0272,Pooja Verma,11789.64,3
C0134,Rohan Mehta,11770.76,4
C0019,Ananya Singh,11665.37,4
C0088,Aditi Kulkarni,11414.02,4
C0297,Vivaan Verma,11189.68,4
C0294,Pooja Sharma,11113.24,4
C0139,Kavya Joshi,11093.43,4
C0243,Aditya Gupta,10932.16,4
C0270,Neha Verma,10582.43,4
C0215,Ananya Mehta,10307.8,4
C0383,Aditya Deshmukh,10052.19,4
C0334,Priya Patil,9902.43,4
C0081,Priya Gupta,9848.91,4
C0484,Rohan Verma,9848.77,4
C0177,Aditya Kulkarni,9768.75,4
C0367,Aarav Joshi,9665.0,4
C0358,Aarav Sharma,9462.72,4
C0017,Rahul Verma,9358.17,4
C0322,Pooja Verma,9275.32,4
C0382,Pooja Verma,8603.63,4
C0039,Priya Gupta,8538.82,4
C0030,Vivaan Shah,8397.5,4
C0285,Kavya Patil,8392.47,4
C0144,Aditi Kulkarni,8162.63,4
C0138,Rahul Verma,8153.7,4
C0258,Priya Verma,8142.28,4
C0189,Kavya Gupta,7952.55,4
C0018,Vivaan Gupta,7937.48,4
C0269,Rohan Singh,7881.17,4
C0185,Ananya Joshi,7726.13,4
C0069,Rohan Kulkarni,7555.98,4
C0028,Arjun Shah,7330.6,4
C0227,Aditya Patil,7322.16,4
C0229,Aarav Patil,7222.03,4
C0082,Rahul Singh,7144.88,4
C0192,Isha Singh,7132.77,4
C0434,Sneha Shah,7029.12,4
C0480,Rohan Singh,6902.95,4
C0048,Aditya Singh,6816.84,4
C0207,Neha Shah,6816.1,4
C0195,Priya Joshi,6777.85,4
C0164,Vivaan Shah,6765.56,4
C0420,Kavya Joshi,6718.64,4
C0417,Aditya Verma,6539.91,4
C0372,Aditi Shah,6411.89,4
C0283,Aditya Deshmukh,6354.07,4
C0119,Vivaan Shah,6275.03,4
C0364,Rohan Shah,6152.87,4
C0442,Sneha Kulkarni,5934.15,4
C0180,Sneha Gupta,5810.07,4
C0044,Arjun Mehta,5695.89,4
C0199,Isha Patil,5668.65,4
C0458,Isha Sharma,5563.87,4
C0312,Ananya Verma,5493.73,4
C0238,Vivaan Deshmukh,5484.53,4
C0469,Rahul Gupta,5480.77,4
C0172,Arjun Verma,5278.33,4
C0333,Sneha Verma,5201.57,4
C0471,Sneha Gupta,5092.95,4
C0145,Priya Kulkarni,4959.17,4
C0309,Vivaan Verma,4925.05,4
C0457,Isha Verma,4706.07,4
C0263,Rahul Deshmukh,4599.23,4
C0033,Isha Joshi,4519.95,4
C0169,Ananya Sharma,4459.63,4
C0096,Ananya Deshmukh,4128.96,4
C0234,Rohan Mehta,4019.62,4
C0451,Kavya Kulkarni,3888.88,4
C0170,Rohan Patil,3789.73,4
C0179,Priya Joshi,3725.85,4
C0158,Sneha Joshi,3537.45,4
C0090,Vivaan Joshi,3419.54,4
C0329,Ananya Mehta,3372.61,4
C0051,Priya Shah,3318.3,4
C0165,Sneha Mehta,3263.86,4
C0267,Rohan Deshmukh,3258.0,4
C0374,Priya Shah,3034.11,4
C0375,Sneha Verma,2814.75,4
C0173,Karan Kulkarni,2728.88,4
C0307,Neha Kulkarni,2537.15,4
C0394,Aditya Singh,2392.7,4
C0036,Vivaan Mehta,2300.96,4
C0055,Aditi Shah,2226.54,4
C0053,Priya Gupta,2201.83,4
C0253,Aditya Kulkarni,1860.27,4
C0362,Arjun Joshi,1840.74,4
C0167,Rohan Kulkarni,1335.22,4
C0239,Arjun Patil,1076.77,4
C0493,Arjun Sharma,1023.9,4
C0005,Priya Shah,704.32,4
C0370,Priya Shah,671.72,4
C0282,Rahul Singh,592.67,4
C0155,Sneha Patil,569.72,4
C0212,Neha Joshi,546.96,4
C0240,Neha Patil,381.3,4
C0008,Rahul Kulkarni,10.04,4
C0131,Karan Gupta,-928.98,4
C0209,Priya Joshi,-6302.42,4
C0479,Rahul Patil,-7215.44,4
C0092,Aarav Joshi,-13018.91,4
C0142,Rohan Mehta,-15966.05,4
C0147,Isha Gupta,-19018.37,4
