customer_id,customer_name
C0449,Arjun Mehta
C0450,Arjun Shah
C0451,Kavya Kulkarni
C0452,Kavya Sharma
C0453,Aditya Singh
C0457,Isha Verma
C0458,Isha Sharma
C0460,Pooja Mehta
C0461,Rahul Kulkarni
C0462,Pooja Gupta
C0464,Isha Patil
C0465,Priya Gupta
C0471,Sneha Gupta
C0472,Karan Gupta
C0473,Vivaan Deshmukh
C0474,Priya Shah
C0475,Ananya Sharma
C0479,Rahul Patil
C0483,Rahul Deshmukh
C0484,Rohan Verma
C0486,Arjun Gupta
C0487,Priya Sharma
C0489,Rohan Kulkarni
C0490,Rohan Patil
C0493,Arjun Sharma
C0494,Kavya Singh
C0496,Aditya Kulkarni
C0497,Rohan Gupta
C0498,Karan Gupta
C0499,Aarav Singh
