customer_id,customer_name,total_revenue,cumulative_distribution
C0207,Neha Shah,6816.1,0.1552
C0048,Aditya Singh,6816.84,0.1576
C0480,Rohan Singh,6902.95,0.1601
C0434,Sneha Shah,7029.12,0.1626
C0192,Isha Singh,7132.77,0.165
C0082,Rahul Singh,7144.88,0.1675
C0229,Aarav Patil,7222.03,0.17
C0227,Aditya Patil,7322.16,0.1724
C0028,Arjun Shah,7330.6,0.1749
C0069,Rohan Kulkarni,7555.98,0.1773
C0185,Ananya Joshi,7726.13,0.1798
C0269,Rohan Singh,7881.17,0.1823
C0018,Vivaan Gupta,7937.48,0.1847
C0189,Kavya Gupta,7952.55,0.1872
C0258,Priya Verma,8142.28,0.1897
C0138,Rahul Verma,8153.7,0.1921
C0144,Aditi Kulkarni,8162.63,0.1946
C0285,Kavya Patil,8392.47,0.197
C0030,Vivaan Shah,8397.5,0.1995
C0039,Priya Gupta,8538.82,0.202
C0382,Pooja Verma,8603.63,0.2044
C0322,Pooja Verma,9275.32,0.2069
C0017,Rahul Verma,9358.17,0.2094
C0358,Aarav Sharma,9462.72,0.2118
C0367,Aarav Joshi,9665.0,0.2143
C0177,Aditya Kulkarni,9768.75,0.2167
C0484,Rohan Verma,9848.77,0.2192
C0081,Priya Gupta,9848.91,0.2217
C0334,Priya Patil,9902.43,0.2241
C0383,Aditya Deshmukh,10052.19,0.2266
C0215,Ananya Mehta,10307.8,0.2291
C0270,Neha Verma,10582.43,0.2315
C0243,Aditya Gupta,10932.16,0.234
C0139,Kavya Joshi,11093.43,0.2365
C0294,Pooja Sharma,11113.24,0.2389
C0297,Vivaan Verma,11189.68,0.2414
C0088,Aditi Kulkarni,11414.02,0.2438
C0019,Ananya Singh,11665.37,0.2463
C0134,Rohan Mehta,11770.76,0.2488
C0272,Pooja Verma,11789.64,0.2512
C0325,Rohan Patil,11853.51,0.2537
C0250,Pooja Kulkarni,11879.41,0.2562
C0121,Aarav Sharma,12003.99,0.2586
C0500,Arjun Deshmukh,12054.07,0.2611
C0495,Rohan Mehta,12112.99,0.2635
C0314,Aarav Verma,12195.89,0.266
C0465,Priya Gupta,12211.24,0.2685
C0452,Kavya Sharma,12379.0,0.2709
C0064,Aarav Gupta,12380.86,0.2734
C0331,Vivaan Mehta,12658.37,0.2759
C0341,Sneha Singh,12954.53,0.2783
C0126,Arjun Joshi,12996.82,0.2808
C0345,Arjun Deshmukh,13053.83,0.2833
C0366,Ananya Shah,13127.81,0.2857
C0023,Rohan Gupta,13151.39,0.2882
C0219,Ananya Gupta,13198.64,0.2906
C0286,Aditi Joshi,13303.03,0.2931
C0190,Karan Deshmukh,13322.36,0.2956
C0123,Pooja Mehta,13374.04,0.298
C0360,Aditi Gupta,13448.02,0.3005
C0141,Rohan Gupta,13497.66,0.303
C0200,Ananya Verma,13712.7,0.3054
C0042,Kavya Verma,13916.02,0.3079
C0389,Sneha Mehta,13961.72,0.3103
C0402,Sneha Singh,14013.92,0.3128
C0257,Aditi Sharma,14059.71,0.3153
C0003,Vivaan Kulkarni,14096.01,0.3177
C0101,Vivaan Deshmukh,14117.75,0.3202
C0060,Arjun Singh,14218.56,0.3227
C0194,Karan Singh,14442.03,0.3251
C0112,Ananya Singh,14449.5,0.3276
C0029,Aditi Kulkarni,14850.78,0.33
C0255,Karan Patil,14863.81,0.3325
C0384,Rohan Joshi,14866.83,0.335
C0150,Arjun Joshi,14885.51,0.3374
C0302,Ananya Verma,14976.42,0.3399
C0175,Rahul Singh,15012.52,0.3424
C0488,Aditya Patil,15456.73,0.3448
C0087,Priya Singh,15521.84,0.3473
C0241,Ananya Singh,15616.12,0.3498
C0393,Neha Singh,16004.72,0.3522
C0009,Arjun Joshi,16166.83,0.3547
C0078,Pooja Joshi,16224.97,0.3571
C0496,Aditya Kulkarni,16395.38,0.3596
C0002,Rahul Shah,16476.2,0.3621
C0278,Isha Singh,16572.86,0.3645
C0254,Rahul Sharma,16740.82,0.367
C0210,Rohan Patil,17359.85,0.3695
C0409,Rahul Patil,17583.41,0.3719
C0089,Pooja Sharma,17814.63,0.3744
C0163,Sneha Mehta,18204.49,0.3768
C0416,Priya Joshi,18416.32,0.3793
C0462,Pooja Gupta,18666.8,0.3818
C0277,Aarav Verma,18784.02,0.3842
C0392,Aarav Mehta,18853.8,0.3867
C0237,Kavya Kulkarni,19016.16,0.3892
C0035,Aarav Mehta,19155.86,0.3916
C0125,Neha Shah,19261.18,0.3941
C0499,Aarav Singh,19290.76,0.3966
C0440,Pooja Patil,19325.36,0.399
C0186,Karan Gupta,19545.64,0.4015
C0398,Arjun Kulkarni,19677.59,0.4039
C0352,Sneha Patil,19755.68,0.4064
C0191,Neha Patil,19900.65,0.4089
C0083,Isha Deshmukh,19950.52,0.4113
C0098,Isha Shah,19998.67,0.4138
C0246,Karan Deshmukh,20020.55,0.4163
C0339,Sneha Deshmukh,20391.53,0.4187
C0399,Priya Verma,20407.92,0.4212
C0204,Aditi Kulkarni,20580.07,0.4236
C0027,Kavya Gupta,20702.38,0.4261
C0421,Sneha Singh,20767.08,0.4286
C0373,Aditya Singh,21042.41,0.431
C0276,Aditi Singh,21164.7,0.4335
C0091,Rohan Shah,21179.76,0.436
C0168,Arjun Sharma,21242.44,0.4384
C0037,Neha Verma,21580.85,0.4409
C0337,Arjun Patil,21593.42,0.4433
C0293,Isha Joshi,21603.28,0.4458
C0311,Isha Singh,21748.47,0.4483
C0067,Aditi Mehta,23292.97,0.4507
C0105,Pooja Joshi,23496.0,0.4532
C0456,Vivaan Gupta,23620.19,0.4557
C0498,Karan Gupta,23675.52,0.4581
C0203,Neha Gupta,23715.63,0.4606
C0371,Aarav Verma,23744.0,0.4631
C0386,Ananya Deshmukh,23827.84,0.4655
C0378,Isha Sharma,24401.71,0.468
C0232,Pooja Shah,24440.09,0.4704
C0412,Isha Verma,24581.05,0.4729
C0459,Priya Mehta,24950.78,0.4754
C0014,Arjun Mehta,25063.66,0.4778
C0013,Aditi Sharma,25140.05,0.4803
C0361,Rohan Gupta,25193.52,0.4828
C0298,Rohan Mehta,25208.07,0.4852
C0012,Isha Deshmukh,25341.45,0.4877
C0303,Aarav Verma,25623.81,0.4901
C0369,Vivaan Deshmukh,25631.32,0.4926
C0085,Isha Gupta,25693.71,0.4951
C0483,Rahul Deshmukh,25839.81,0.4975
C0045,Isha Shah,25933.75,0.5
C0264,Rohan Joshi,26152.18,0.5025
C0034,Isha Patil,26228.06,0.5049
C0404,Rohan Mehta,26428.11,0.5074
C0344,Neha Patil,26446.35,0.5099
C0114,Ananya Shah,26512.82,0.5123
C0188,Aditya Kulkarni,26941.31,0.5148
C0288,Isha Verma,27121.63,0.5172
C0441,Aditya Gupta,27267.18,0.5197
C0468,Isha Singh,27345.01,0.5222
C0230,Isha Joshi,27405.61,0.5246
C0006,Neha Verma,27678.47,0.5271
C0497,Rohan Gupta,27730.82,0.5296
C0327,Pooja Shah,27857.3,0.532
C0162,Rohan Kulkarni,28061.23,0.5345
C0377,Rahul Singh,28158.25,0.5369
C0403,Vivaan Joshi,28247.75,0.5394
C0010,Karan Deshmukh,28256.51,0.5419
C0318,Neha Singh,28266.2,0.5443
C0063,Aditi Patil,28351.27,0.5468
C0335,Aditi Kulkarni,28676.39,0.5493
C0248,Ananya Singh,28683.2,0.5517
C0472,Karan Gupta,28909.19,0.5542
C0356,Karan Singh,29232.59,0.5567
C0419,Isha Singh,29299.9,0.5591
C0450,Arjun Shah,29764.11,0.5616
C0463,Aarav Mehta,29970.58,0.564
C0073,Aditi Deshmukh,30078.91,0.5665
C0300,Ananya Kulkarni,30600.64,0.569
C0365,Pooja Joshi,30799.13,0.5714
C0100,Rohan Sharma,31071.81,0.5739
C0413,Karan Sharma,31244.03,0.5764
C0379,Aditya Deshmukh,31303.04,0.5788
C0128,Neha Shah,31317.29,0.5813
C0153,Neha Patil,31402.09,0.5837
C0259,Rohan Patil,31506.74,0.5862
C0474,Priya Shah,31640.67,0.5887
C0448,Pooja Verma,31646.35,0.5911
C0224,Kavya Shah,31691.79,0.5936
C0052,Vivaan Deshmukh,31746.96,0.5961
C0066,Pooja Verma,31985.18,0.5985
C0160,Aditya Deshmukh,32424.43,0.601
C0280,Ananya Sharma,32766.19,0.6034
C0438,Ananya Deshmukh,32988.11,0.6059
C0397,Rohan Joshi,33242.4,0.6084
C0490,Rohan Patil,33305.61,0.6108
C0231,Neha Kulkarni,34282.13,0.6133
C0426,Sneha Shah,34497.04,0.6158
C0306,Isha Mehta,34600.38,0.6182
C0025,Isha Shah,34626.81,0.6207
C0137,Aditi Kulkarni,34714.79,0.6232
C0117,Aditya Verma,34880.25,0.6256
C0388,Pooja Singh,34928.78,0.6281
C0406,Priya Verma,35187.4,0.6305
C0222,Ananya Joshi,35390.51,0.633
C0400,Kavya Singh,35402.2,0.6355
C0385,Rahul Deshmukh,35488.06,0.6379
C0336,Aditi Gupta,35578.99,0.6404
C0494,Kavya Singh,35920.38,0.6429
C0109,Sneha Joshi,35977.7,0.6453
C0340,Arjun Joshi,36073.56,0.6478
C0093,Kavya Patil,36204.58,0.6502
C0455,Aditya Deshmukh,36250.15,0.6527
C0304,Arjun Joshi,36485.51,0.6552
C0056,Pooja Mehta,36713.24,0.6576
C0437,Vivaan Mehta,37057.02,0.6601
C0430,Arjun Sharma,38390.15,0.6626
C0118,Aarav Deshmukh,38446.8,0.665
C0249,Rohan Kulkarni,38607.43,0.6675
C0116,Kavya Gupta,38742.89,0.67
C0418,Rahul Deshmukh,39526.09,0.6724
C0290,Neha Patil,39533.75,0.6749
C0346,Karan Mehta,39663.41,0.6773
C0349,Kavya Sharma,39705.53,0.6798
C0443,Sneha Joshi,39868.2,0.6823
C0157,Isha Verma,39908.08,0.6847
C0136,Aditya Mehta,40719.49,0.6872
C0447,Pooja Mehta,40946.17,0.6897
C0481,Isha Kulkarni,40986.69,0.6921
C0184,Isha Singh,41042.46,0.6946
C0140,Rohan Joshi,41238.03,0.697
C0149,Rohan Deshmukh,41312.45,0.6995
C0410,Ananya Mehta,41405.47,0.702
C0202,Karan Sharma,41545.18,0.7044
C0291,Ananya Patil,42020.91,0.7069
C0415,Aarav Singh,42371.35,0.7094
C0486,Arjun Gupta,42891.06,0.7118
C0225,Aarav Mehta,42931.86,0.7143
C0487,Priya Sharma,43500.65,0.7167
C0387,Aditya Joshi,43583.22,0.7192
C0354,Rahul Sharma,43625.64,0.7217
C0449,Arjun Mehta,44432.48,0.7241
C0411,Priya Singh,44507.47,0.7266
C0111,Aditya Patil,44636.93,0.7291
C0132,Aditi Verma,44881.66,0.7315
C0279,Aarav Sharma,45383.32,0.734
C0299,Aditya Gupta,45399.58,0.7365
C0124,Aditi Verma,45430.87,0.7389
C0271,Kavya Sharma,45734.52,0.7414
C0022,Isha Deshmukh,46027.15,0.7438
C0273,Ananya Gupta,46138.99,0.7463
C0247,Aditya Sharma,46495.09,0.7488
C0473,Vivaan Deshmukh,46614.7,0.7512
C0038,Kavya Kulkarni,46620.19,0.7537
C0461,Rahul Kulkarni,46656.23,0.7562
C0359,Sneha Deshmukh,47448.75,0.7586
C0011,Aditi Patil,47688.83,0.7611
C0151,Pooja Gupta,47707.94,0.7635
C0059,Rohan Sharma,47873.88,0.766
C0220,Rohan Sharma,47903.07,0.7685
C0094,Aditi Mehta,48125.67,0.7709
C0330,Pooja Joshi,48558.47,0.7734
C0135,Aditi Patil,48560.48,0.7759
C0433,Kavya Kulkarni,48594.89,0.7783
C0287,Rohan Gupta,48764.98,0.7808
C0228,Aarav Kulkarni,49112.05,0.7833
C0178,Arjun Sharma,49226.17,0.7857
C0015,Sneha Joshi,49307.13,0.7882
C0407,Priya Sharma,49645.25,0.7906
C0338,Ananya Sharma,50068.43,0.7931
C0032,Aditya Mehta,50209.55,0.7956
C0076,Kavya Shah,50250.08,0.798
C0103,Kavya Deshmukh,50334.18,0.8005
C0108,Vivaan Sharma,50515.25,0.803
C0041,Sneha Verma,50983.85,0.8054
C0007,Rahul Deshmukh,51166.44,0.8079
C0115,Neha Sharma,51180.87,0.8103
C0021,Neha Kulkarni,52280.87,0.8128
C0218,Kavya Gupta,52560.24,0.8153
C0242,Rohan Mehta,52662.19,0.8177
C0401,Rahul Gupta,53002.04,0.8202
C0265,Pooja Sharma,53046.61,0.8227
C0156,Vivaan Deshmukh,53670.16,0.8251
C0476,Sneha Verma,53741.67,0.8276
C0470,Rohan Sharma,53841.8,0.83
C0355,Aditya Mehta,54123.12,0.8325
C0317,Kavya Gupta,54349.47,0.835
C0182,Isha Shah,54674.83,0.8374
C0439,Aditya Kulkarni,55339.08,0.8399
C0353,Kavya Joshi,55511.17,0.8424
C0213,Priya Shah,55516.2,0.8448
C0217,Vivaan Shah,55533.1,0.8473
C0261,Karan Singh,55543.0,0.8498
C0485,Aarav Verma,55643.37,0.8522
C0316,Rohan Sharma,56042.95,0.8547
C0244,Rohan Joshi,56195.11,0.8571
C0223,Isha Patil,57030.5,0.8596
C0198,Aditi Verma,57067.5,0.8621
C0106,Karan Joshi,57216.09,0.8645
C0072,Aditya Mehta,57656.68,0.867
C0292,Karan Sharma,57952.49,0.8695
C0166,Priya Verma,58152.94,0.8719
C0133,Kavya Shah,58347.23,0.8744
C0491,Arjun Joshi,58572.64,0.8768
C0323,Arjun Kulkarni,61146.54,0.8793
C0424,Aditi Sharma,61917.06,0.8818
C0146,Aditya Kulkarni,62062.98,0.8842
C0308,Kavya Mehta,62639.26,0.8867
C0305,Rohan Mehta,62864.91,0.8892
C0284,Pooja Shah,63855.8,0.8916
C0054,Vivaan Patil,64041.27,0.8941
C0460,Pooja Mehta,64310.41,0.8966
C0226,Aditi Singh,64898.99,0.899
C0196,Neha Verma,67578.45,0.9015
C0256,Rohan Patil,68841.63,0.9039
C0120,Rahul Patil,68914.74,0.9064
C0047,Vivaan Joshi,69040.57,0.9089
C0332,Neha Shah,70228.48,0.9113
C0107,Rohan Deshmukh,71751.51,0.9138
C0348,Sneha Shah,71884.56,0.9163
C0266,Vivaan Kulkarni,73666.69,0.9187
C0152,Arjun Mehta,73764.03,0.9212
C0445,Kavya Deshmukh,74485.08,0.9236
C0046,Aarav Patil,74787.9,0.9261
C0040,Isha Singh,77047.77,0.9286
C0174,Pooja Kulkarni,77979.76,0.931
C0004,Rohan Sharma,79546.5,0.9335
C0326,Rahul Shah,80235.63,0.936
C0031,Neha Gupta,81269.51,0.9384
C0084,Aditi Verma,81372.77,0.9409
C0268,Arjun Deshmukh,82610.94,0.9433
C0061,Aarav Patil,82789.37,0.9458
C0086,Arjun Kulkarni,93846.62,0.9483
C0321,Rohan Gupta,93928.9,0.9507
C0161,Arjun Shah,94244.93,0.9532
C0350,Aarav Singh,96020.19,0.9557
C0274,Aarav Mehta,96789.57,0.9581
C0436,Vivaan Joshi,99760.44,0.9606
C0464,Isha Patil,100987.04,0.9631
C0176,Ananya Gupta,101122.13,0.9655
C0429,Rahul Singh,102520.68,0.968
C0071,Pooja Kulkarni,104529.58,0.9704
C0262,Sneha Sharma,105367.59,0.9729
C0453,Aditya Singh,108641.67,0.9754
C0233,Aditya Joshi,110281.16,0.9778
C0351,Kavya Mehta,111226.95,0.9803
C0324,Karan Deshmukh,116688.01,0.9828
C0363,Isha Patil,120532.96,0.9852
C0381,Pooja Gupta,127714.6,0.9877
C0435,Aarav Gupta,140000.07,0.9901
C0444,Rohan Patil,147108.06,0.9926
C0315,Aditi Singh,148693.73,0.9951
C0216,Kavya Deshmukh,177738.03,0.9975
C0295,Kavya Verma,217965.86,1.0
